DateTime,AddedIPs,RemovedIPs
1581867620,33,62
1582031647,509,9275
1582033328,235,276
1582034168,165,1
1582035249,155,239
1582036928,255,620
1582038135,200,204
1582039809,276,0
1582041289,212,1
1582042448,183,0
1582044128,297,1
1582044968,154,0
1582046048,177,4
1582047728,281,3
1582049021,178,0
1582050488,197,3
1582051889,196,2
1582053253,200,2
1582054361,160,0
1582055531,131,3
1582056848,147,0
1582058528,186,2
1582059375,82,1
1582060449,95,0
1582062128,143,0
1582062968,71,2
1582064051,82,1
1582064888,73,0
1582065730,44,1
1582066833,77,1
1582068487,127,5
1582070111,109,1
1582071308,88,1
1582072087,57,2
1582073768,123,6
1582074847,75,2
1582076530,122,0
1582077874,79,3
1582079108,66,1
1582080309,72,0
1582082047,115,3
1582083309,90,5
1582084925,87,1
1582086488,110,2
1582089250,163,6
1582090824,97,4
1582092331,75,2
1582092848,32,0
1582094544,90,3
1582096211,95,7
1582097413,67,5
1582098909,72,6
1582100048,59,1
1582100891,39,5
1582102176,55,2
1582103409,60,1
1582104522,47,0
1582106187,84,5
1582107249,50,4
1582108930,60,3
1582110850,92,5
1582112369,74,0
1582113372,62,2
1582114511,61,5
1582115644,62,3
1582118047,120,7
1582119733,69,5
1582120568,28,3
1582121711,46,1
1582123329,56,1
1582124766,56,4
1582126190,80,0
1582127394,57,1
1582128847,99,2
1582130000,101,3
1582131308,116,3
1582132448,90,3
1582134131,137,3
1582134968,46,1
1582136112,67,6
1582136895,22,4
1582138211,47,3
1582139651,67,2
1582141334,74,3
1582142177,27,3
1582143247,54,3
1582144087,43,0
1582146850,118,4
1582148335,52,2
1582150510,87,0
1582152132,103,1
1582154048,113,3
1582154887,49,3
1582155731,38,8
1582157651,87,5
1582159348,74,7
1582161009,89,4
1582162088,49,2
1582163707,69,7
1582164912,37,3
1582166108,48,2
1582168211,73,11
1582168448,10,0
1582169293,25,0
1582170909,46,3
1582172112,37,1
1582173631,54,3
1582175710,69,3
1582176488,25,0
1582177333,24,2
1582179249,63,7
1582180763,42,7
1582181781,21,7
1582182910,37,3
1582184616,39,5
1582185370,15,1
1582186512,29,0
1582187710,30,4
1582188970,32,3
1582190110,26,3
1582192835,60,20
1582194008,18,4
1582195237,51,76
1582197564,70,46
1582198949,46,81
1582200850,58,47
1582202531,40,67
1582204449,61,42
1582206132,63,78
1582206971,19,0
1582208071,43,39
1582209630,52,89
1582211314,68,39
1582212784,33,47
1582214108,40,17
1582215248,34,50
1582216511,34,87
1582217867,36,31
1582219212,52,46
1582220530,42,67
1582222003,45,66
1582223209,45,6
1582224330,19,94
1582226048,53,48
1582228062,65,88
1582229650,46,44
1582230814,22,48
1582233249,189,63
1582234344,114,39
1582235768,96,18
1582236908,68,30
1582237689,29,1
1582238960,44,75
1582240217,48,27
1582241413,29,51
1582244048,74,50
1582245309,31,53
1582247647,51,56
1582249334,36,59
1582250760,43,57
1582252209,40,66
1582252932,22,13
1582253768,31,2
1582254854,47,41
1582256533,93,90
1582257367,32,6
1582258446,45,35
1582260031,45,94
1582262049,63,40
1582262890,32,2
1582264231,31,79
1582265409,32,36
1582267330,39,72
